,Ethnicity,Gender,Age,Relationship Status,Industry,Education,Cost of Living,Annual Expenses,Annual Income
1046,White,Male,36-40,relationship,Retail,"Some college, no degree",71-80,66100,86100
1047,White,Male,36-40,single,Education,Bachelor's Degree,61-70,97200,106700
1048,White,Male,21-25,single,Financial Services,Bachelor's Degree,81-90,105000,105000
1054,White,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,51-60,52845000,52845000
1055,White,Male,41-45,relationship,Energy,Master's Degree,71-80,85000,300000
1056,White,Male,36-40,relationship,Public Administration (Civilian Government),Doctorate Degree,71-80,199000,437000
1058,Asian,Male,31-35,relationship,Healthcare,Doctorate Degree,81-90,163800,180700
1059,White,Male,36-40,relationship,Financial Services,Master's Degree,71-80,307000,307000
1060,White,Male,51-55,relationship,"Arts, Entertainment, Recreation",Master's Degree,51-60,251500,360000
1061,White,Female,31-35,relationship,Healthcare,Doctorate Degree,71-80,513980,513980
1063,White,Male,61-65,relationship,Engineering (NOT software),Bachelor's Degree,91-100,159800,178600
1064,"White,Hispanic or Latino",Female,31-35,relationship,Professional & Business Services,Doctorate Degree,91-100,235000,235000
1066,White,Male,66-70,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,85000,14000
1067,White,Female,21-25,single,Healthcare,Bachelor's Degree,51-60,46200,50600
1068,White,Male,36-40,relationship,Transportation,Bachelor's Degree,71-80,48000,270000
1069,White,Female,31-35,single,Utilities,Bachelor's Degree,81-90,135250,130000
1070,Southeast Asian,Male,41-45,relationship,Professional & Business Services,Master's Degree,71-80,350000,350000
1071,White,Male,36-40,relationship,Engineering (NOT software),Bachelor's Degree,51-60,99000,206500
1072,White,Male,26-30,relationship,Construction,Bachelor's Degree,81-90,199700,221984
1073,"White,Asian",Male,31-35,relationship,Financial Services,Bachelor's Degree,91-100,237000,237000
1074,White,Male,31-35,relationship,Professional & Business Services,Bachelor's Degree,71-80,240000,240000
1075,White,Male,26-30,relationship,Financial Services,Bachelor's Degree,71-80,153411,174963
1076,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,51-60,55000,144040
1077,White,Male,36-40,relationship,Media,Bachelor's Degree,91-100,108300,190000
1078,White,Male,31-35,relationship,"Agriculture, Forestry, Fishing",Master's Degree,61-70,139510,147180
1080,White,Male,31-35,single,Financial Services,Doctorate Degree,81-90,76149.12,159100
1083,Other (Please specify) - Latino,Female,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,67200,111000
1084,Asian,Female,41-45,single,Financial Services,Bachelor's Degree,91-100,25000,220000
1085,White,Male,31-35,relationship,Engineering (NOT software),Doctorate Degree,71-80,210000,210000
1087,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,91-100,123764,121100
1088,White,Female,46-50,single,Other Services,"Some college, no degree",81-90,53100,54000
1092,White,Male,31-35,relationship,Professional & Business Services,Master's Degree,81-90,120000,279000
1093,White,Male,46-50,relationship,Education,Master's Degree,71-80,40000,110000
1094,White,Male,26-30,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,438660,438000
1095,White,Male,46-50,relationship,Information Technology (incl. software engineering),Master's Degree,61-70,70000,400000
1096,White,Male,36-40,single,Professional & Business Services,Doctorate Degree,101-110,660000,660000
1097,White,Female,36-40,relationship,"Arts, Entertainment, Recreation",Bachelor's Degree,71-80,75000,251500
1102,White,Male,46-50,single,Utilities,Bachelor's Degree,81-90,127200,127200
1105,White,Female,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,198100,378000
1107,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,122000,122000
1108,"White,Black or African American",Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,81-90,151230,188221
1110,"White,Hispanic or Latino",Male,31-35,relationship,"Arts, Entertainment, Recreation",Bachelor's Degree,81-90,73580,108000
1111,White,Non-binary,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,383055,383055
1113,White,Male,36-40,relationship,Public Administration (Civilian Government),Master's Degree,61-70,68100,162000
1115,White,Male,36-40,relationship,Engineering (NOT software),Bachelor's Degree,71-80,90000,180000
1117,Middle Eastern,Female,41-45,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,256400,285000
1119,White,Male,41-45,single,Information Technology (incl. software engineering),Bachelor's Degree,61-70,55000,225000
1123,Asian,Female,46-50,relationship,Information Technology (incl. software engineering),Master's Degree,51-60,45600,100000
1124,White,Male,26-30,single,"Arts, Entertainment, Recreation","Some college, no degree",81-90,120000,460000
1125,White,Male,36-40,relationship,Professional & Business Services,Bachelor's Degree,81-90,80000,200000
1128,White,Male,41-45,relationship,Financial Services,Master's Degree,71-80,500000,500000
1130,White,Male,31-35,relationship,Construction,Master's Degree,61-70,207000,200000
1131,Asian,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,264000,250000
1133,White,Male,36-40,relationship,Professional & Business Services,Master's Degree,71-80,387600,387600
1136,White,Female,26-30,relationship,Education,Bachelor's Degree,61-70,76000,76000
1138,White,Female,26-30,relationship,Construction,Bachelor's Degree,31-40,168157,160000
1139,White,Male,26-30,relationship,Education,Master's Degree,61-70,76400,135500
1142,White,Female,51-55,relationship,"Arts, Entertainment, Recreation",Master's Degree,81-90,190000,190000
1148,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,60000,210000
1149,White,Male,26-30,relationship,Engineering (NOT software),Bachelor's Degree,71-80,92500,92500
1151,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,1-20,240000,500000
1152,Asian,Male,36-40,single,Information Technology (incl. software engineering),Bachelor's Degree,91-100,30000,121000
1157,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,121-130,108800,108800
1158,Southeast Asian,Female,31-35,relationship,Utilities,Master's Degree,101-110,115000,115000
1159,"White,American Indian",Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,60230,95000
1161,White,Male,36-40,relationship,Energy,Master's Degree,61-70,156900,300000
1164,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,41-50,244200,260000
1167,"Asian,Southeast Asian",Female,26-30,relationship,Engineering (NOT software),Master's Degree,81-90,35000,128240
1170,"White,Asian",Male,41-45,relationship,"Arts, Entertainment, Recreation",Bachelor's Degree,81-90,896000,896000
1173,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,1-20,278100,260000
1174,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,41-50,800000,400000
1175,Decline to state,Male,26-30,single,Engineering (NOT software),Bachelor's Degree,91-100,120000,120000
1177,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,70000,420000
1178,White,Male,46-50,relationship,Information Technology (incl. software engineering),"Some college, no degree",81-90,448029,540508
1179,Asian,Male,21-25,single,Financial Services,Bachelor's Degree,81-90,107000,107000
1185,Southeast Asian,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,31-40,8592,40600
1188,White,Male,26-30,single,Engineering (NOT software),Master's Degree,101-110,115000,115000
1189,White,Male,36-40,relationship,"Agriculture, Forestry, Fishing",Bachelor's Degree,61-70,340000,340000
1192,Decline to state,Male,31-35,single,Energy,Master's Degree,61-70,175020,213935
1195,Asian,Female,31-35,relationship,Financial Services,Master's Degree,91-100,177900,177900
1196,White,Female,31-35,relationship,Public Administration (Civilian Government),Master's Degree,71-80,65000,400000
1197,White,Male,31-35,single,Information Technology (incl. software engineering),Master's Degree,61-70,21000,61250
1200,White,Male,36-40,relationship,Engineering (NOT software),Bachelor's Degree,71-80,192000,173520
1201,White,Female,41-45,relationship,"Arts, Entertainment, Recreation",Master's Degree,91-100,300000,300000
1204,White,Female,26-30,relationship,Utilities,Bachelor's Degree,81-90,96200,120000
1206,White,Male,31-35,relationship,Information Technology (incl. software engineering),"Some college, no degree",41-50,35000,190000
1207,White,Male,41-45,relationship,Engineering (NOT software),Bachelor's Degree,71-80,90000,286500
1210,White,Male,31-35,relationship,Financial Services,Specialist Degree,81-90,225000,525000
1211,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,125000,125000
1212,White,Female,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,215054,233713
1213,White,Male,51-55,relationship,Healthcare,Associate's Degree,71-80,195000,195000
1214,Asian,Male,36-40,single,Professional & Business Services,Bachelor's Degree,41-50,563515,555000
1215,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,140900,196500
1216,White,Male,26-30,relationship,Healthcare,Master's Degree,61-70,309437,309437
1217,White,Male,26-30,relationship,Professional & Business Services,Bachelor's Degree,81-90,260000,260000
1219,White,Male,31-35,relationship,Financial Services,Specialist Degree,61-70,58600,165000
1220,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,221277,179925
1221,"White,Other (Please specify) - Jewish",Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,91-100,350000,350000
1223,White,Male,26-30,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,456400,475000
1225,White,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,61-70,23500,127000
1226,White,Male,31-35,relationship,Construction,"Some college, no degree",61-70,126000,235000
1227,White,Male,46-50,relationship,Media,Bachelor's Degree,91-100,132000,478000
1228,White,Male,21-25,relationship,Energy,Bachelor's Degree,71-80,163000,163000
1229,White,Male,31-35,relationship,Healthcare,Specialist Degree,81-90,150000,425000
1230,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,71-80,98000,193600
1232,White,Female,36-40,single,Information Technology (incl. software engineering),Master's Degree,81-90,155000,155000
1233,White,Male,31-35,relationship,Engineering (NOT software),Master's Degree,71-80,228550,221300
1234,White,Male,31-35,relationship,Financial Services,Bachelor's Degree,71-80,352000,352000
1235,"White,Middle Eastern",Female,36-40,relationship,Financial Services,Master's Degree,71-80,410151,46128
1236,Southeast Asian,Male,51-55,relationship,Manufacturing,High school diploma / GED,61-70,240000,600000
1237,White,Male,41-45,relationship,Information Technology (incl. software engineering),"Some college, no degree",71-80,90000,200000
1238,White,Female,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,133000,133700
1239,White,Female,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,61-70,40309,187000
1240,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,180000,180000
1242,Black or African American,Male,36-40,single,Information Technology (incl. software engineering),Bachelor's Degree,61-70,134800,233000
1243,Asian,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,91-100,40000,265000
1244,Asian,Male,31-35,relationship,Healthcare,Doctorate Degree,61-70,496000,650000
1245,White,Male,26-30,relationship,Manufacturing,Bachelor's Degree,51-60,72000,72000
1246,White,Male,41-45,relationship,Education,Master's Degree,81-90,32000,125000
1247,Asian,Female,51-55,single,Financial Services,Specialist Degree,91-100,120380,352147
1249,Southeast Asian,Male,41-45,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,248000,320000
1250,White,Male,31-35,relationship,Construction,High school diploma / GED,61-70,236000,236000
1254,Asian,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,170700,235000
1255,Asian,Female,31-35,single,Healthcare,Doctorate Degree,61-70,106000,106000
1256,Decline to state,Male,36-40,relationship,Engineering (NOT software),Bachelor's Degree,61-70,103000,125000
1258,White,Male,46-50,relationship,Healthcare,Bachelor's Degree,81-90,150000,235000
1260,White,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,127000,127000
1261,White,Male,36-40,single,Engineering (NOT software),Bachelor's Degree,91-100,213450,213450
1263,White,Male,21-25,relationship,Construction,Bachelor's Degree,71-80,50000,100000
1265,Asian,Female,26-30,relationship,Education,Master's Degree,71-80,79600,81200
1267,Hispanic or Latino,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,51-60,238200,306500
1268,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,61-70,118150,125239
1269,White,Male,36-40,relationship,"Agriculture, Forestry, Fishing",Master's Degree,71-80,172899,204145
1270,Asian,Male,31-35,relationship,Engineering (NOT software),Master's Degree,71-80,160000,160000
1275,White,Female,26-30,relationship,Healthcare,Doctorate Degree,81-90,162000,162000
1276,White,Male,46-50,relationship,Information Technology (incl. software engineering),Master's Degree,51-60,126000,199000
1281,White,Male,41-45,relationship,Engineering (NOT software),Doctorate Degree,91-100,617200,673000
1282,White,Female,41-45,single,Information Technology (incl. software engineering),Master's Degree,81-90,185000,185000
1283,Asian,Female,26-30,single,Financial Services,Master's Degree,91-100,136196,136196
1286,White,Female,21-25,relationship,Professional & Business Services,Bachelor's Degree,81-90,160207,159832
1287,"White,Other (Please specify) - Jewish",Male,26-30,relationship,Engineering (NOT software),Master's Degree,81-90,172750,172000
1289,White,Male,36-40,relationship,Manufacturing,Bachelor's Degree,71-80,144860,189000
1290,"White,American Indian",Female,51-55,relationship,Education,Doctorate Degree,71-80,106000,63000
1291,White,Female,41-45,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,75000,330000
1292,White,Female,26-30,relationship,Professional & Business Services,Master's Degree,61-70,154264,154264
1293,Asian,Female,36-40,relationship,Healthcare,Doctorate Degree,91-100,1182800,1182800
1294,"White,Hispanic or Latino",Female,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,61-70,279500,279500
1296,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,61-70,115000,115000
1297,White,Female,36-40,relationship,Information Technology (incl. software engineering),Doctorate Degree,81-90,130000,503500
1303,White,Male,56-60,single,Information Technology (incl. software engineering),Master's Degree,81-90,99800,157900
1305,Asian,Male,56-60,relationship,Healthcare,Master's Degree,81-90,230000,391000
1306,White,Male,46-50,relationship,Healthcare,Doctorate Degree,81-90,70000,243000
1307,White,Female,41-45,single,Information Technology (incl. software engineering),Doctorate Degree,81-90,206000,206000
1308,White,Male,26-30,relationship,Professional & Business Services,Bachelor's Degree,71-80,317488,325530
1309,White,Male,26-30,single,Engineering (NOT software),Bachelor's Degree,81-90,138100,154800
1310,Asian,Female,41-45,single,Retail,Master's Degree,81-90,118800,157000
1311,White,Female,41-45,relationship,Financial Services,Bachelor's Degree,71-80,82196,90000
1312,White,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,406046,406046
1313,Asian,Male,21-25,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,65000,100000
1314,White,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,139000,145400
1315,White,Male,56-60,relationship,Financial Services,Associate's Degree,71-80,90000,115000
1317,Asian,Male,21-25,relationship,Financial Services,Bachelor's Degree,81-90,93500,93500
1320,Southeast Asian,Male,46-50,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,231375,343000
1321,White,Male,36-40,relationship,Construction,Bachelor's Degree,71-80,76000,200000
1324,White,Male,51-55,relationship,Information Technology (incl. software engineering),High school diploma / GED,81-90,180000,190000
1325,White,Male,26-30,single,Military,Associate's Degree,61-70,56300,80500
1326,Asian,Female,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,91-100,193106,193106
1327,Southeast Asian,Male,36-40,relationship,Engineering (NOT software),Master's Degree,71-80,191500,201500
1329,White,Female,26-30,relationship,Manufacturing,Master's Degree,61-70,69860,88300
1330,White,Male,31-35,relationship,Manufacturing,Bachelor's Degree,91-100,164400,164400
1333,White,Male,26-30,relationship,Distribution / Logistics,Bachelor's Degree,71-80,131000,131000
1334,"White,Black or African American",Male,36-40,single,Construction,Bachelor's Degree,61-70,168187,168187
1335,Asian,Male,31-35,single,Financial Services,Bachelor's Degree,91-100,162150,180000
1336,White,Male,41-45,relationship,Manufacturing,Bachelor's Degree,71-80,104000,222000
1337,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,450000,450000
1338,White,Female,51-55,relationship,Education,Doctorate Degree,51-60,55040,125100
1341,Asian,Male,36-40,relationship,Financial Services,Bachelor's Degree,81-90,200000,565000
1342,White,Male,26-30,relationship,Energy,Bachelor's Degree,71-80,121800,157000
1343,White,Male,21-25,relationship,Financial Services,Bachelor's Degree,71-80,78300,78600
1344,White,Male,31-35,relationship,Healthcare,Doctorate Degree,91-100,276795,280488
1345,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,7875,130000
1346,White,Male,31-35,relationship,Construction,Bachelor's Degree,61-70,151869,151869
1347,"White,Southeast Asian",Male,31-35,single,Information Technology (incl. software engineering),Master's Degree,81-90,515818,515818
1350,Hispanic or Latino,Male,31-35,single,Engineering (NOT software),Bachelor's Degree,91-100,53000,70000
1351,"White,Hispanic or Latino",Male,26-30,relationship,Healthcare,Bachelor's Degree,81-90,140000,140000
1352,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,205773.02,716406
1353,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,295000,370000
1354,"White,Black or African American",Male,26-30,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,134350,134350
1356,White,Male,36-40,relationship,Military,Master's Degree,81-90,183609,186000
1358,"White,American Indian",Male,41-45,single,Professional & Business Services,Bachelor's Degree,61-70,168152,180508
1359,White,Male,36-40,relationship,"Arts, Entertainment, Recreation",Specialist Degree,71-80,15000,4000
1360,White,Male,26-30,relationship,"Arts, Entertainment, Recreation",Bachelor's Degree,81-90,66700,57000
1361,Asian,Female,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,91-100,4800,176000
1362,White,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,300000,266000
1363,"White,Hispanic or Latino",Male,31-35,relationship,Engineering (NOT software),Master's Degree,91-100,189200,189200
1364,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,60000,510000
1365,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,200000,202000
1367,White,Male,21-25,relationship,Engineering (NOT software),Bachelor's Degree,81-90,92550,141960
1368,Asian,Male,36-40,relationship,Energy,Master's Degree,71-80,243450,538000
1370,White,Male,41-45,relationship,Military,Master's Degree,61-70,10050,16700
1373,White,Male,36-40,relationship,Distribution / Logistics,Bachelor's Degree,81-90,115000,115000
1375,Asian,Male,21-25,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,97073,97073
1376,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,75000,285000
1378,White,Male,26-30,single,Healthcare,Master's Degree,71-80,64051,91550
1379,White,Male,31-35,relationship,Financial Services,Bachelor's Degree,71-80,80000,190000
1380,White,Male,31-35,relationship,Engineering (NOT software),Master's Degree,71-80,146343,146343
1383,White,Male,36-40,relationship,Engineering (NOT software),Bachelor's Degree,71-80,200000,200000
1391,White,Male,26-30,relationship,Engineering (NOT software),Bachelor's Degree,81-90,101600,118000
1393,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,81-90,150000,1425000
1394,White,Male,31-35,single,Financial Services,Bachelor's Degree,71-80,105050,105050
1396,White,Male,26-30,relationship,Education,Bachelor's Degree,61-70,58000,142000
1397,White,Male,31-35,relationship,Healthcare,Specialist Degree,61-70,140000,610000
1398,"White,Other (Please specify)",Female,36-40,single,Information Technology (incl. software engineering),Associate's Degree,71-80,302498,302498
1399,White,Female,61-65,relationship,Military,Bachelor's Degree,71-80,72500,152250
1402,Decline to state,Male,41-45,relationship,Information Technology (incl. software engineering),Master's Degree,91-100,125000,567000
1404,White,Male,36-40,relationship,Military,Master's Degree,81-90,29000,30750
1407,White,Male,31-35,single,Financial Services,Bachelor's Degree,81-90,80000,160000
1408,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,140000,140000
1410,White,Male,41-45,single,Education,Doctorate Degree,61-70,50250,56200
1412,White,Male,36-40,relationship,Information Technology (incl. software engineering),High school diploma / GED,71-80,194400,218000
1413,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,235000,235000
1414,White,Male,36-40,relationship,Retail,Master's Degree,71-80,174200,245000
1416,"White,Hispanic or Latino",Male,36-40,single,Information Technology (incl. software engineering),Bachelor's Degree,81-90,120000,350000
1417,White,Male,31-35,relationship,Leisure & Hospitality,Bachelor's Degree,71-80,100000,135000
1418,White,Male,31-35,relationship,Financial Services,Bachelor's Degree,61-70,195000,195000
1421,White,Male,31-35,single,Engineering (NOT software),Bachelor's Degree,71-80,56000,100000
1423,White,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,175000,175000
1424,White,Female,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,238334,247899
1429,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,108260,131650
1431,White,Male,26-30,relationship,Engineering (NOT software),Bachelor's Degree,71-80,81650,84000
1432,Asian,Male,26-30,single,Professional & Business Services,Bachelor's Degree,61-70,103200,122000
1434,White,Male,41-45,relationship,Engineering (NOT software),Bachelor's Degree,71-80,586935.06,235000
1436,Decline to state,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,91-100,176200,245000
1437,White,Male,36-40,relationship,Natural Resources,Bachelor's Degree,71-80,174637,181837
1438,Asian,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,258300,258300
1440,White,Female,21-25,single,Engineering (NOT software),Bachelor's Degree,71-80,78000,78000
1443,White,Male,46-50,relationship,Military,Doctorate Degree,71-80,216000,206000
1444,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,45000,405000
1446,White,Male,36-40,single,Information Technology (incl. software engineering),Doctorate Degree,141-150,425000,425000
1447,White,Male,66-70,single,Financial Services,Bachelor's Degree,61-70,46200,41000
1448,White,Male,41-45,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,132000,560000
1450,White,Male,26-30,relationship,Engineering (NOT software),Master's Degree,71-80,304600,306000
1451,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,81-90,195000,195000
1452,Asian,Male,26-30,relationship,Professional & Business Services,Master's Degree,61-70,320000,320000
1453,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,81-90,109000,109000
1454,White,Male,31-35,relationship,Professional & Business Services,Bachelor's Degree,61-70,294600,294600
1456,White,Male,31-35,relationship,Healthcare,Bachelor's Degree,81-90,71342,134063
1457,White,Male,41-45,relationship,Manufacturing,Bachelor's Degree,81-90,90000,300000
1459,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,81300,283000
1460,White,Male,26-30,relationship,Manufacturing,Bachelor's Degree,51-60,3300,133300
1461,White,Male,31-35,relationship,"Agriculture, Forestry, Fishing",Doctorate Degree,71-80,250000,240000
1462,White,Male,21-25,relationship,Financial Services,Bachelor's Degree,71-80,145950,145950
1464,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,95000,280000
1465,White,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,61-70,28250,150000
1466,White,Male,36-40,relationship,Manufacturing,Bachelor's Degree,61-70,125000,125000
1467,White,Male,26-30,relationship,Construction,Bachelor's Degree,81-90,146240,185500
1468,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,150500,150700
1469,Asian,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,80000,222000
1471,Asian,Male,26-30,relationship,Distribution / Logistics,Bachelor's Degree,71-80,180000,202000
1474,White,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,81-90,67000,160000
1475,White,Male,26-30,relationship,Healthcare,Master's Degree,71-80,87000,87000
1477,White,Male,46-50,single,Media,Bachelor's Degree,61-70,109500,109500
1479,White,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,122888,178800
1480,White,Male,36-40,relationship,Healthcare,Master's Degree,81-90,217500,215000
1481,White,Male,21-25,single,Information Technology (incl. software engineering),Bachelor's Degree,81-90,3500,190000
1485,White,Male,31-35,relationship,Energy,Bachelor's Degree,71-80,350000,350000
1489,White,Female,41-45,relationship,Public Administration (Civilian Government),"Some college, no degree",51-60,200000,200000
1491,Asian,Male,36-40,relationship,Energy,Bachelor's Degree,61-70,105340,312000
1495,White,Male,36-40,relationship,Transportation,Bachelor's Degree,71-80,1960,90000
1497,White,Male,51-55,single,Information Technology (incl. software engineering),"Some college, no degree",81-90,96500,228000
1498,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,71-80,65000,220000
1502,White,Male,41-45,relationship,Professional & Business Services,Bachelor's Degree,71-80,217501,278000
1504,White,Male,41-45,relationship,Information Technology (incl. software engineering),"Some college, no degree",81-90,170000,540000
1505,White,Male,31-35,relationship,"Agriculture, Forestry, Fishing",Bachelor's Degree,71-80,280300,280000
1506,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,156620,156000
1507,White,Male,31-35,relationship,Financial Services,Associate's Degree,71-80,148000,148000
1508,Asian,Male,56-60,relationship,Education,Doctorate Degree,71-80,100000,170000
1511,White,Male,46-50,relationship,Financial Services,"Some college, no degree",61-70,134900,255200
1512,Southeast Asian,Non-binary,31-35,relationship,Healthcare,Master's Degree,71-80,128400,125000
1513,"Middle Eastern,Hispanic or Latino",Male,26-30,single,Engineering (NOT software),Bachelor's Degree,81-90,110000,118000
1514,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,220000,270000
1515,Hispanic or Latino,Female,31-35,relationship,Education,Master's Degree,81-90,141000,141000
1517,Hispanic or Latino,Male,26-30,relationship,Manufacturing,Bachelor's Degree,81-90,167087,167087
1519,White,Male,36-40,relationship,Construction,Master's Degree,51-60,79420,84986
1520,Asian,Male,36-40,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,185000,176000
1521,White,Female,36-40,relationship,Financial Services,Master's Degree,71-80,123800,123800
1522,White,Male,36-40,relationship,Engineering (NOT software),Master's Degree,81-90,19780,115843
1523,Asian,Male,31-35,relationship,Healthcare,Doctorate Degree,81-90,487500,790000
1525,Southeast Asian,Female,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,31-40,109720,126000
1526,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,152680,152680
1527,White,Male,31-35,relationship,Energy,Bachelor's Degree,71-80,341500,448000
1532,White,Male,21-25,single,Distribution / Logistics,Bachelor's Degree,71-80,75000,99000
1534,Asian,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,400000,400000
1538,"White,Hispanic or Latino",Male,26-30,relationship,Military,Bachelor's Degree,61-70,125420,134284
1539,"White,Middle Eastern",Male,31-35,relationship,Engineering (NOT software),Master's Degree,81-90,128100,134000
1542,"White,Hispanic or Latino",Male,31-35,single,Retail,Associate's Degree,81-90,103700,103700
1545,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,61-70,25000,78000
1547,White,Male,36-40,relationship,Retail,"Some college, no degree",71-80,250000,250000
1550,"White,Asian",Female,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,112000,116000
1552,White,Male,31-35,relationship,Education,Bachelor's Degree,81-90,107200,297000
1554,White,Male,31-35,relationship,Construction,"Some college, no degree",61-70,40000,92000
1557,White,Male,41-45,single,Information Technology (incl. software engineering),"Some college, no degree",81-90,73800,75000
1558,White,Male,36-40,relationship,Energy,Bachelor's Degree,61-70,180000,1136000
1561,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,91-100,51760,197000
1563,Asian,Male,31-35,relationship,Financial Services,Doctorate Degree,91-100,76000,251000
