,Ethnicity,Gender,Age,Relationship Status,Industry,Education,Cost of Living,Annual Expenses,Annual Income
251,"White,Black or African American",Male,26-30,relationship,Retail,Bachelor's Degree,71-80,160000,167500
252,"White,Hispanic or Latino",Male,31-35,single,Financial Services,Bachelor's Degree,81-90,32000,75000
254,White,Male,21-25,single,Healthcare,Bachelor's Degree,61-70,40000,140000
260,White,Female,36-40,single,"Arts, Entertainment, Recreation",Master's Degree,51-60,130850,156250
262,White,Male,56-60,single,Healthcare,Associate's Degree,71-80,45000,93400
265,White,Female,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,272489,272489
269,White,Female,26-30,relationship,Engineering (NOT software),Bachelor's Degree,91-100,309275,309275
271,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,198000,212000
272,White,Female,31-35,relationship,Information Technology (incl. software engineering),Doctorate Degree,91-100,240386,246570
273,Hispanic or Latino,Male,36-40,relationship,Financial Services,Master's Degree,31-40,150000,540000
274,Asian,Female,31-35,single,Manufacturing,Master's Degree,61-70,210000,228000
277,Black or African American,Male,26-30,single,Real Estate,Bachelor's Degree,91-100,197000,197000
282,Asian,Male,26-30,relationship,Financial Services,Bachelor's Degree,91-100,145500,202500
283,White,Male,31-35,relationship,Financial Services,Master's Degree,81-90,262400,395000
284,White,Female,46-50,relationship,Military,Bachelor's Degree,71-80,172000,172000
285,White,Female,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,127500,127500
290,Asian,Male,36-40,relationship,Healthcare,Doctorate Degree,81-90,120000,375000
291,White,Male,41-45,relationship,Healthcare,Bachelor's Degree,61-70,274000,379500
292,White,Male,31-35,relationship,Engineering (NOT software),Master's Degree,81-90,375000,375000
295,White,Male,41-45,relationship,Healthcare,Master's Degree,61-70,75000,357000
296,White,Male,41-45,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,375000,375000
297,Asian,Male,31-35,single,Information Technology (incl. software engineering),Bachelor's Degree,71-80,98000,461000
299,White,Female,46-50,single,Financial Services,Bachelor's Degree,71-80,141556,141556
301,White,Male,26-30,relationship,Engineering (NOT software),Master's Degree,81-90,139700,135100
302,White,Male,21-25,single,Engineering (NOT software),Bachelor's Degree,91-100,163100,206500
303,Asian,Non-binary,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,35400,228000
305,"White,Pacific Islander,Asian",Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,226300,257200
306,Asian,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,61-70,217000,220000
307,White,Female,26-30,relationship,Professional & Business Services,Master's Degree,81-90,131792,163000
308,White,Male,26-30,relationship,Healthcare,Master's Degree,71-80,53400,210000
310,"Pacific Islander,Middle Eastern,Hispanic or Latino",Male,26-30,relationship,Engineering (NOT software),Bachelor's Degree,91-100,109700,156000
312,White,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,81-90,116449,147199
315,White,Male,36-40,relationship,Financial Services,Master's Degree,61-70,107500,300000
317,Asian,Male,26-30,single,Information Technology (incl. software engineering),Bachelor's Degree,81-90,50000,180000
318,White,Male,21-25,relationship,Information Technology (incl. software engineering),Master's Degree,61-70,70000,231000
319,White,Male,26-30,relationship,Financial Services,Bachelor's Degree,81-90,140308,140308
320,"White,Hispanic or Latino",Male,26-30,single,Public Administration (Civilian Government),Master's Degree,71-80,71600,72250
323,White,Male,36-40,relationship,Manufacturing,Bachelor's Degree,81-90,115000,225000
327,Other (Please specify) - Indian,Male,31-35,relationship,Manufacturing,Bachelor's Degree,61-70,210000,210000
328,Asian,Female,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,360100,389000
329,White,Male,21-25,single,Healthcare,Specialist Degree,71-80,80000,80000
330,White,Male,26-30,single,Financial Services,Bachelor's Degree,20-Jan,97700,105000
331,Asian,Male,31-35,single,Professional & Business Services,Master's Degree,81-90,60000,245000
332,White,Male,26-30,relationship,Construction,Bachelor's Degree,81-90,267000,267000
333,White,Female,26-30,single,Financial Services,Bachelor's Degree,61-70,30000,135800
334,White,Male,31-35,single,Information Technology (incl. software engineering),Doctorate Degree,81-90,75000,251000
335,White,Male,36-40,relationship,Information Technology (incl. software engineering),Doctorate Degree,61-70,1166000,2200000
336,White,Male,56-60,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,1433000,1433000
338,Asian,Male,26-30,single,Engineering (NOT software),Master's Degree,81-90,138805,149000
339,White,Female,46-50,relationship,Financial Services,Bachelor's Degree,71-80,1113000,1113000
341,White,Male,36-40,relationship,Engineering (NOT software),Bachelor's Degree,71-80,213500,209000
342,White,Male,31-35,relationship,Engineering (NOT software),Bachelor's Degree,51-60,250000,250000
343,White,Male,36-40,single,Information Technology (incl. software engineering),Master's Degree,71-80,240000,240000
344,White,Male,36-40,relationship,Public Administration (Civilian Government),Master's Degree,61-70,90000,186000
346,White,Male,36-40,relationship,Manufacturing,Bachelor's Degree,71-80,105600,135000
348,White,Male,46-50,relationship,Trade,Master's Degree,31-40,340000,340000
349,White,Male,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,450000,450000
350,White,Male,26-30,relationship,Engineering (NOT software),Bachelor's Degree,81-90,37000,167400
351,White,Male,26-30,relationship,Engineering (NOT software),Master's Degree,71-80,169464,159800
353,White,Male,41-45,relationship,Healthcare,Bachelor's Degree,71-80,169000,184800
354,Asian,Male,26-30,relationship,Manufacturing,Doctorate Degree,71-80,52802,50437
355,White,Male,41-45,relationship,Financial Services,Bachelor's Degree,61-70,325000,325000
356,Southeast Asian,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,350000,350000
358,White,Female,36-40,single,Financial Services,Master's Degree,71-80,260000,260000
362,White,Female,26-30,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,30000,114000
364,White,Male,26-30,single,Military,Master's Degree,81-90,134667,141367
366,White,Male,36-40,relationship,Professional & Business Services,Master's Degree,71-80,161120,208400
367,White,Male,26-30,relationship,"Agriculture, Forestry, Fishing",Bachelor's Degree,71-80,8000,101700
368,White,Male,56-60,relationship,Manufacturing,Bachelor's Degree,61-70,150000,150000
370,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,96000,315000
371,"Asian,Southeast Asian",Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,80000,420001
373,White,Male,36-40,relationship,Manufacturing,Master's Degree,81-90,155000,155000
375,White,Female,51-55,single,Public Administration (Civilian Government),Bachelor's Degree,71-80,65000,166000
376,White,Male,51-55,relationship,Engineering (NOT software),Bachelor's Degree,71-80,312400,305000
377,White,Male,31-35,single,Financial Services,Bachelor's Degree,71-80,129700,143794
378,White,Male,31-35,relationship,Real Estate,Bachelor's Degree,81-90,110000,385000
379,"White,Hispanic or Latino",Male,31-35,relationship,Energy,Bachelor's Degree,61-70,116100,127500
381,White,Male,31-35,relationship,Information Technology (incl. software engineering),Master's Degree,71-80,229552,229552
384,White,Female,51-55,single,Professional & Business Services,Bachelor's Degree,91-100,335500,335500
385,White,Male,26-30,relationship,Manufacturing,Bachelor's Degree,71-80,96000,210000
386,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,146200,350000
387,White,Male,31-35,relationship,Healthcare,Master's Degree,71-80,119400,123000
388,White,Male,31-35,relationship,Financial Services,Doctorate Degree,91-100,90000,450000
389,White,Male,31-35,relationship,Healthcare,Master's Degree,71-80,150000,330000
394,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,194439,205375
396,White,Male,36-40,relationship,Professional & Business Services,Bachelor's Degree,71-80,188200,188200
397,White,Male,36-40,relationship,Information Technology (incl. software engineering),Bachelor's Degree,81-90,417000,507000
398,White,Male,31-35,relationship,Information Technology (incl. software engineering),Bachelor's Degree,71-80,308300,365000
